"GSM2462948","GSM2462949","GSM2462950","GSM2462951","GSM2462952","GSM2462953","GSM2462954","GSM2462955","GSM2462956","GSM2462957","GSM2462958","GSM2462959","GSM2462960","GSM2462961","GSM2462962","GSM2462963","GSM2462964","GSM2462965","GSM2462966","GSM2462967"
"1415714_a_at",641.222,756.924,547.949,495.772,802.235,671.454,901.011,569.387,875.97,881.617,823.647,868.119,905.213,673.27,869.923,680.651,629.18,710.263,674.333,833.054
"1415715_at",125.067,163.734,112.787,96.6078,163.982,157.915,166.663,185.807,204.421,220.625,229.626,187.592,280.735,191.574,211.596,169.232,149.586,173.979,177.355,169.809
"1415716_a_at",3596.17,4316.49,3337.44,3242.09,4589.32,2454.2,3250.46,2833.39,3120.02,3321.97,3526.41,3469.87,3196.52,3223.65,3554.35,3175.35,2959.85,2844.12,2941.12,3215.75
"1415717_at",101.022,144.031,122.606,95.3796,166.581,112.201,133.504,95.2209,159.199,172.372,186.617,174.067,151.52,138.578,180.8,123.021,131.013,135.692,140.788,137.352
"1415718_at",611.695,697.217,554.2,552.101,682.737,548.854,604.979,603.033,644.424,724.653,718.606,603.597,718.372,636.178,658.578,582.553,555.583,525.55,599.104,590.862
"1415719_s_at",269.491,361.246,233.673,323.914,528.028,396.417,453.252,430.373,580.334,643.557,541.645,375.65,532.587,649.941,639.431,474.524,416.419,409.041,382.696,553.144
"1415720_s_at",84.9318,113.574,93.507,90.0385,136.06,100.088,119.784,109.772,130.708,157.055,197.802,168.803,140.3,124.285,162.046,152.827,115.911,120.883,103.675,139.273
"1415721_a_at",489.651,674.766,508.446,429.108,604.792,437.601,464.998,398.251,472.481,517,480.348,509.243,508.703,399.151,673.046,441.034,492.563,373.954,490.355,415.063
"1415722_a_at",253.136,275.173,249.397,182.928,359.977,324.667,334.715,342.611,394.096,336.857,359.89,383.887,406.226,325.278,339.647,285.737,293.755,287.261,300.048,410.918
"1415723_at",3145.86,2843.29,2417.76,2196.19,3433.24,2621.81,2851.62,2693.93,2959.04,3259.14,3086.63,2727.59,3390.76,2798.42,2983.3,2732.78,2600.86,2651.2,3060.31,2949.18
"1415724_a_at",595.283,752.004,648.173,626.282,1154.39,1200.89,1773.25,1263.27,1819.54,1569.38,1556.62,1643.57,1446.97,1553.99,1685.5,1091.18,937.82,1185.13,1212.73,1363.39
"1415725_at",92.0566,127.608,79.6102,79.5328,119.654,87.7217,111.515,84.7582,115.889,121.79,119.447,127.327,136.92,96.0103,120.044,93.8486,97.1681,96.5169,113.526,111.583
"1415726_at",405.538,513.591,464.234,388.039,549.003,431.707,449.629,410.96,603.619,569.651,432.435,469.629,527.104,578.838,563.605,458.228,413.194,405.287,485.629,433.362
"1415727_at",698.888,744.681,598.598,511.645,1102.09,909.059,955.557,1085.2,1194.74,1149.25,994.114,911.615,1102.77,959.892,1117.44,959.984,947.258,900.454,941.053,972.438
"1415728_at",175.163,269.176,222.758,184.193,342.874,226.041,346.826,256.364,293.967,352.23,421.203,326.77,396.959,320.946,308.041,281.011,238.226,249.584,246.565,337.856
"1415729_at",376.922,420.962,299.296,270.518,508.608,428.424,593.436,446.16,679.607,723.696,625.077,559.753,628.708,507.07,600.05,401.082,349.647,419.847,416.707,479.291
"1415730_at",225.207,228.417,172.325,149.423,367.503,322.15,414.231,354.568,390.834,454.605,381.335,336.079,384.297,327.13,357.872,252.154,242.733,212.929,317.194,303.306
"1415731_at",86.7265,136.949,89.0066,74.0234,151.737,121.428,137.066,120.079,135.897,133.11,169.58,157.274,143.509,176.081,162.208,114.792,144.038,109.228,119.843,135.508
"1415732_at",172.981,315.036,273.442,222.629,275.942,284.066,255.17,251.099,291.871,249.913,330.592,263.43,311.453,319.273,283.995,240.41,241.887,248.547,296.383,245.749
"1415733_a_at",619.38,786.719,724.326,544.329,508.452,519.733,605.741,475.501,557.73,610.574,579.267,531.836,523.113,566.868,556.297,557.656,443.065,557.988,445.544,608.795
"1415734_at",1419.98,1982.67,1726.37,1535.42,2294.93,1729.37,2268.53,1629.11,2381,2406.07,2424.88,2321.87,2241.21,2257.78,2387.45,1867.09,1831.59,1734.01,2020.29,2020.5
"1415735_at",537.596,636.202,534.811,494.027,691.989,520.05,698.406,616.644,680.417,749.705,858.922,783.511,813.608,725.96,759.931,567.906,557.839,665.201,651.11,663.283
